date,CPI_inflation_rate,log_epu,gprc_bra
1/1/03,14.46698279,1.945226849,0.1
2/1/03,15.84729635,2.08019703,0.08
3/1/03,16.57307799,2.1260947,0.04
4/1/03,16.76939919,1.98583915,0.08
5/1/03,17.23584936,1.930595189,0.05
6/1/03,16.57056194,1.754946837,0.05
7/1/03,15.42979404,1.952382551,0.06
8/1/03,15.07445409,2.134567542,0.06
9/1/03,15.14329896,1.739350473,0.04
10/1/03,13.9836845,2.098790081,0.04
11/1/03,11.01845502,2.350167356,0.04
12/1/03,9.3005128,1.927360712,0.05
1/1/04,7.707318476,2.127776139,0.1
2/1/04,6.688915848,2.407563228,0.05
3/1/04,5.887646946,1.950292937,0.05
4/1/04,5.258418041,2.043212509,0.07
5/1/04,5.153546018,2.098138197,0.06
6/1/04,6.059129379,2.133720252,0.05
7/1/04,6.810486424,1.721208614,0.04
8/1/04,7.182931792,1.791026562,0.06
9/1/04,6.704475851,2.013779001,0.07
10/1/04,6.864244223,2.137528174,0.07
11/1/04,7.23683024,2.141744429,0.07
12/1/04,7.599495849,1.665185913,0.07
1/1/05,7.407308485,2.081241782,0.06
2/1/05,7.386300788,1.982744944,0.03
3/1/05,7.535836177,2.124866638,0.07
4/1/05,8.071430138,2.072428212,0.04
5/1/05,8.050131615,2.135262443,0.06
6/1/05,7.266918939,2.134949668,0.04
7/1/05,6.565665243,1.947145796,0.15
8/1/05,6.015579673,2.19168375,0.12
9/1/05,6.036601441,1.957592156,0.05
10/1/05,6.363640212,1.786535357,0.02
11/1/05,6.215760552,2.183549695,0.05
12/1/05,5.689226819,2.187197982,0.05
1/1/06,5.699945707,2.146289935,0.05
2/1/06,5.510759887,1.617450662,0.03
3/1/06,5.322150647,2.101078282,0.05
4/1/06,4.633167012,1.904535408,0.04
5/1/06,4.227167317,1.978090087,0.07
6/1/06,4.029207817,2.15325617,0.07
7/1/06,3.966753599,1.875314007,0.05
8/1/06,3.84211437,1.918803668,0.05
9/1/06,3.697183805,2.004496346,0.05
10/1/06,3.264888616,2.055091511,0.06
11/1/06,3.018236083,1.9272875,0.03
12/1/06,3.141516132,1.894914578,0.04
1/1/07,2.987813485,2.175630083,0.03
2/1/07,3.018564366,1.962428106,0.03
3/1/07,2.957038373,1.935940387,0.05
4/1/07,2.998180217,2.023264809,0.02
5/1/07,3.183180157,1.989346749,0.03
6/1/07,3.689806129,1.925314928,0.04
7/1/07,3.741741881,1.747104585,0.04
8/1/07,4.177371666,2.259291822,0.03
9/1/07,4.146187727,2.105029299,0.02
10/1/07,4.115212062,1.913663995,0.07
11/1/07,4.187799705,2.045345671,0.03
12/1/07,4.457658553,2.278699425,0.04
1/1/08,4.561479654,2.351021304,0.06
2/1/08,4.613512653,2.244049397,0.02
3/1/08,4.728310951,2.179828594,0.06
4/1/08,5.041627425,2.091034573,0.02
5/1/08,5.576029422,1.885236286,0.04
6/1/08,6.060583356,1.917161666,0.05
7/1/08,6.367091588,1.765196161,0.05
8/1/08,6.165817949,2.039170926,0.04
9/1/08,6.25053375,2.41785699,0.07
10/1/08,6.409530261,2.481873556,0.03
11/1/08,6.388596928,2.303693159,0.05
12/1/08,5.902724391,2.506083657,0.03
1/1/09,5.839344298,2.092589424,0.01
2/1/09,5.902537475,2.380599761,0.02
3/1/09,5.607122766,2.315815692,0.02
4/1/09,5.533778283,2.152679339,0.04
5/1/09,5.198622241,2.214693938,0.01
6/1/09,4.801565436,2.098256668,0.07
7/1/09,4.499395677,2.198776914,0.03
8/1/09,4.363851682,1.990298088,0.03
9/1/09,4.343100767,2.040024479,0.05
10/1/09,4.16639125,1.691177097,0.06
11/1/09,4.21834594,1.917226726,0.1
12/1/09,4.311650063,1.890729499,0.06
1/1/10,4.592085979,2.217899089,0.06
2/1/10,4.831099691,2.292281552,0.06
3/1/10,5.16600252,2.022717392,0.1
4/1/10,5.260260379,1.746172886,0.09
5/1/10,5.21840309,2.043272659,0.23
6/1/10,4.841090627,1.718144225,0.18
7/1/10,4.600533921,1.847369406,0.05
8/1/10,4.485543932,1.927947037,0.06
9/1/10,4.704219597,1.926031228,0.05
10/1/10,5.195061102,1.348232994,0.03
11/1/10,5.634847512,1.944540558,0.06
12/1/10,5.908688722,1.895297047,0.07
1/1/11,5.99298735,1.429154835,0.07
2/1/11,6.014171342,2.047685597,0.04
3/1/11,6.298987616,2.240344782,0.11
4/1/11,6.510256924,2.231937785,0.04
5/1/11,6.552781653,1.898291932,0.02
6/1/11,6.712550711,2.032262477,0.05
7/1/11,6.872599283,2.091996334,0.03
8/1/11,7.225226441,2.313524288,0.06
9/1/11,7.31090206,2.27924088,0.07
10/1/11,6.970099119,2.066745106,0.06
11/1/11,6.641308866,2.165121412,0.04
12/1/11,6.503352744,2.188365082,0.06
1/1/12,6.217997654,2.115963129,0.05
2/1/12,5.849085647,1.984997132,0.01
3/1/12,5.239991936,2.243940938,0.05
4/1/12,5.104165719,1.822864158,0.05
5/1/12,4.988867368,2.193696877,0.03
6/1/12,4.915425284,2.245799306,0.03
7/1/12,5.198414369,2.149252684,0.03
8/1/12,5.240384039,1.998880685,0.01
9/1/12,5.282203377,1.92963035,0.02
10/1/12,5.449829044,2.01723958,0.01
11/1/12,5.533837251,2.010083179,0.02
12/1/12,5.838594718,1.885169873,0.04
1/1/13,6.154336083,2.215759667,0.01
2/1/13,6.312914644,1.844714575,0.02
3/1/13,6.588765923,2.313349342,0.02
4/1/13,6.493513984,2.115599862,0.01
5/1/13,6.504135129,2.161841574,0.04
6/1/13,6.695915836,2.118807173,0.03
7/1/13,6.270692169,2.210580944,0.04
8/1/13,6.090762064,2.272512271,0.04
9/1/13,5.858620748,2.102367836,0.06
10/1/13,5.837484872,2.036642068,0.04
11/1/13,5.774406724,2.025669128,0.06
12/1/13,5.910683255,2.065754816,0.04
1/1/14,5.585065393,2.135601373,0.02
2/1/14,5.679517624,2.230488262,0.02
3/1/14,6.152891009,2.399970532,0.1
4/1/14,6.279552188,2.177604597,0.02
5/1/14,6.37485565,1.98753627,0.04
6/1/14,6.523283601,1.886209471,0.04
7/1/14,6.502234311,2.059211902,0.08
8/1/14,6.512969847,2.226426926,0.06
9/1/14,6.746474315,2.298240049,0.04
10/1/14,6.58724038,1.962626616,0.02
11/1/14,6.555291342,2.152333301,0.02
12/1/14,6.407470796,2.268599499,0.02
1/1/15,7.137736975,2.287786955,0.03
2/1/15,7.701587433,2.481355044,0.02
3/1/15,8.128504661,2.501426682,0.02
4/1/15,8.171486814,2.325343841,0.05
5/1/15,8.472942639,2.165437831,0.02
6/1/15,8.89442996,2.005316959,0.02
7/1/15,9.558392612,2.262382024,0.05
8/1/15,9.52547737,2.465044803,0.02
9/1/15,9.492789208,2.660010936,0.03
