date,cpi_inflation_rate,scmp_epu,log_scmp_epu,gprc_chn
2003-01-01,0.366581836,141.7656555,2.15157103,0.82
2003-02-01,0.168032194,88.59653473,1.947416736,0.94
2003-03-01,0.878444077,184.7860107,2.26666909,0.81
2003-04-01,0.97962687,124.3101959,2.094506751,0.89
2003-05-01,0.574492489,102.0359116,2.008753049,0.47
2003-06-01,0.27002875,87.32002258,1.941113839,0.45
2003-07-01,0.471981846,92.37224579,1.965541502,0.39
2003-08-01,0.872667818,89.33422852,1.951017891,0.4
2003-09-01,1.0724167,127.8212738,2.106603141,0.3
2003-10-01,1.778511066,106.5136337,2.027405201,0.35
2003-11-01,2.899194938,37.15930557,1.570067589,0.29
2003-12-01,3.20696896,97.13572693,1.987378995,0.47
2004-01-01,3.206969557,101.1584015,2.005001958,0.36
2004-02-01,2.081819653,46.90383148,1.671208321,0.39
2004-03-01,3.006100951,85.35299683,1.931218774,0.32
2004-04-01,3.72858845,43.1658287,1.635140083,0.45
2004-05-01,4.355347762,137.9871979,2.139838795,0.42
2004-06-01,4.883461819,59.12108612,1.771742404,0.45
2004-07-01,5.199693017,50.48696136,1.703179233,0.31
2004-08-01,5.199694011,88.03998566,1.944679963,0.26
2004-09-01,5.095740773,92.03104401,1.963934349,0.42
2004-10-01,4.158315964,107.5005188,2.03141056,0.33
2004-11-01,2.817664623,93.9905014,1.973083966,0.36
2004-12-01,2.306642868,96.87821198,1.986226115,0.41
2005-01-01,1.800674928,75.73043823,1.87927047,0.45
2005-02-01,3.840768084,32.59744644,1.51318358,0.63
2005-03-01,2.598406219,99.00125122,1.995640683,0.53
2005-04-01,1.78170224,50.36788559,1.70215372,0.36
2005-05-01,1.679818201,105.3501663,2.022635226,0.41
2005-06-01,1.577422772,42.97225952,1.63318819,0.39
2005-07-01,1.780985194,35.55521011,1.550903249,0.72
2005-08-01,1.275616305,92.99913788,1.968478923,0.39
2005-09-01,0.874921701,68.26113892,1.83417353,0.5
2005-10-01,1.278422162,32.72947693,1.514939065,0.25
2005-11-01,1.278422009,86.75798035,1.938309433,0.39
2005-12-01,1.581953185,57.22021103,1.757549455,0.21
2006-01-01,2.28878614,83.60843658,1.922250103,0.63
2006-02-01,0.982544079,64.71510315,1.811005648,0.47
