Date,CPI_inflation_Rate,log_epu,gprc_ind,,epu
2003-01-01,3.4261242,1.692686892,0.29,,49.28183746
2003-02-01,3.862660932,1.840483362,0.25,,69.26013947
2003-03-01,4.059829066,2.054686072,0.33,,113.4190674
2003-04-01,5.117270808,1.904680116,0.21,,80.2934494
2003-05-01,4.661016958,1.799234245,0.29,,62.98458099
2003-06-01,4.411764696,1.761313013,0.24,,57.7182312
2003-07-01,4.158004156,1.806096769,0.28,,63.98773956
2003-08-01,3.099173565,1.777058109,0.28,,59.84916687
2003-09-01,2.886597957,1.727746106,0.31,,53.42519379
2003-10-01,3.285420948,1.811002525,0.21,,64.71463776
2003-11-01,3.067484649,1.607853145,0.19,,40.53714371
2003-12-01,3.719008253,1.633056281,0.25,,42.95920944
2004-01-01,4.347826077,1.888238445,0.32,,77.31049347
2004-02-01,4.132231403,1.918123902,0.25,,82.81784058
2004-03-01,3.490759749,1.396893403,0.26,,24.93982506
2004-04-01,2.231237314,1.86894058,0.19,,73.95040894
2004-05-01,2.834008091,2.361033974,0.19,,229.6328278
2004-06-01,3.018108663,1.68503647,0.24,,48.4213028
2004-07-01,3.193612778,1.673615527,0.29,,47.16453171
2004-08-01,4.609218437,1.920074244,0.15,,83.19059753
2004-09-01,4.809619231,1.617638399,0.24,,41.46086884
2004-10-01,4.572564612,1.935546494,0.12,,86.20778656
2004-11-01,4.166666658,1.70726075,0.19,,50.96367645
2004-12-01,3.784860564,1.7060904,0.23,,50.82652283
2005-01-01,4.365079373,1.718554263,0.24,,52.30633163
2005-02-01,4.166666658,1.783898478,0.17,,60.79928589
2005-03-01,4.166666658,1.589115356,0.21,,38.8253479
2005-04-01,4.96031747,1.955679582,0.23,,90.2983017
2005-05-01,3.740157486,1.7790339,0.16,,60.1220665
2005-06-01,3.320312496,1.799480242,0.19,,63.02026749
2005-07-01,4.061895542,1.822344702,0.37,,66.42700958
2005-08-01,3.448275851,1.487049984,0.21,,30.69375229
2005-09-01,3.632887194,1.503850606,0.26,,31.90440178
2005-10-01,4.18250949,1.712976764,0.16,,51.63887405
2005-11-01,5.333333345,1.518608964,0.17,,33.00722122
2005-12-01,5.566218815,1.626817955,0.19,,42.34654236
2006-01-01,4.372623574,1.601953038,0.28,,39.99015045
2006-02-01,4.571428588,1.496561979,0.25,,31.37342834
2006-03-01,4.571428588,1.508774482,0.35,,32.26818085
2006-04-01,4.65282521,1.572000624,0.24,,37.32506943
2006-05-01,5.92540622,1.59762944,0.14,,39.59400558
2006-06-01,7.269145835,1.728710028,0.23,,53.54390335
2006-07-01,6.332198315,1.859905769,0.38,,72.42787933
2006-08-01,5.938375349,1.776772704,0.25,,59.80984879
2006-09-01,6.398648008,1.620259166,0.17,,41.71182251
2006-10-01,6.917438513,1.570556933,0.26,,37.20119858
2006-11-01,5.950734718,1.929673827,0.22,,85.04990387
2006-12-01,6.528647818,1.80274299,0.24,,63.49550629
2007-01-01,6.722689064,1.661982163,0.15,,45.91791534
2007-02-01,7.563025197,1.852862616,0.21,,71.26275635
2007-03-01,6.722689064,1.700808328,0.14,,50.21209335
2007-04-01,6.666666655,1.861261487,0.13,,72.65432739
2007-05-01,6.611570237,1.546412047,0.15,,35.18941498
2007-06-01,5.691056901,1.443098002,0.21,,27.73945999
2007-07-01,6.451612913,1.544662819,0.35,,35.047966
2007-08-01,7.258064525,1.679671301,0.15,,47.82679749
2007-09-01,6.40000001,1.763942295,0.23,,58.06872559
2007-10-01,5.511811035,1.860769905,0.24,,72.57213593
2007-11-01,5.511811035,1.749551421,0.28,,56.1760788
2007-12-01,5.511811035,1.791055081,0.18,,61.80947876
2008-01-01,5.511811035,2.103045882,0.23,,126.7785797
2008-02-01,5.468750011,1.9510967,0.14,,89.35044098
2008-03-01,7.874015756,2.243514955,0.13,,175.192276
