Date,CPI_inflation_Rate,log_epu,gprc_ind
2003-01-01,3.4261242,1.692686892,0.29
2003-02-01,3.862660932,1.840483362,0.25
2003-03-01,4.059829066,2.054686072,0.33
2003-04-01,5.117270808,1.904680116,0.21
2003-05-01,4.661016958,1.799234245,0.29
2003-06-01,4.411764696,1.761313013,0.24
2003-07-01,4.158004156,1.806096769,0.28
2003-08-01,3.099173565,1.777058109,0.28
2003-09-01,2.886597957,1.727746106,0.31
2003-10-01,3.285420948,1.811002525,0.21
2003-11-01,3.067484649,1.607853145,0.19
2003-12-01,3.719008253,1.633056281,0.25
2004-01-01,4.347826077,1.888238445,0.32
2004-02-01,4.132231403,1.918123902,0.25
2004-03-01,3.490759749,1.396893403,0.26
2004-04-01,2.231237314,1.86894058,0.19
2004-05-01,2.834008091,2.361033974,0.19
2004-06-01,3.018108663,1.68503647,0.24
2004-07-01,3.193612778,1.673615527,0.29
2004-08-01,4.609218437,1.920074244,0.15
2004-09-01,4.809619231,1.617638399,0.24
2004-10-01,4.572564612,1.935546494,0.12
2004-11-01,4.166666658,1.70726075,0.19
2004-12-01,3.784860564,1.7060904,0.23
2005-01-01,4.365079373,1.718554263,0.24
2005-02-01,4.166666658,1.783898478,0.17
2005-03-01,4.166666658,1.589115356,0.21
2005-04-01,4.96031747,1.955679582,0.23
2005-05-01,3.740157486,1.7790339,0.16
2005-06-01,3.320312496,1.799480242,0.19
2005-07-01,4.061895542,1.822344702,0.37
2005-08-01,3.448275851,1.487049984,0.21
2005-09-01,3.632887194,1.503850606,0.26
2005-10-01,4.18250949,1.712976764,0.16
2005-11-01,5.333333345,1.518608964,0.17
2005-12-01,5.566218815,1.626817955,0.19
2006-01-01,4.372623574,1.601953038,0.28
2006-02-01,4.571428588,1.496561979,0.25
2006-03-01,4.571428588,1.508774482,0.35
2006-04-01,4.65282521,1.572000624,0.24
2006-05-01,5.92540622,1.59762944,0.14
2006-06-01,7.269145835,1.728710028,0.23
2006-07-01,6.332198315,1.859905769,0.38
2006-08-01,5.938375349,1.776772704,0.25
2006-09-01,6.398648008,1.620259166,0.17
2006-10-01,6.917438513,1.570556933,0.26
2006-11-01,5.950734718,1.929673827,0.22
2006-12-01,6.528647818,1.80274299,0.24
2007-01-01,6.722689064,1.661982163,0.15
2007-02-01,7.563025197,1.852862616,0.21
2007-03-01,6.722689064,1.700808328,0.14
2007-04-01,6.666666655,1.861261487,0.13
2007-05-01,6.611570237,1.546412047,0.15
2007-06-01,5.691056901,1.443098002,0.21
2007-07-01,6.451612913,1.544662819,0.35
2007-08-01,7.258064525,1.679671301,0.15
2007-09-01,6.40000001,1.763942295,0.23
2007-10-01,5.511811035,1.860769905,0.24
2007-11-01,5.511811035,1.749551421,0.28
2007-12-01,5.511811035,1.791055081,0.18
2008-01-01,5.511811035,2.103045882,0.23
2008-02-01,5.468750011,1.9510967,0.14
2008-03-01,7.874015756,2.243514955,0.13
2008-04-01,7.812500008,2.096133346,0.12
2008-05-01,7.751937992,1.974900252,0.24
2008-06-01,7.6923077,2.211851011,0.18
2008-07-01,8.333333318,2.286931859,0.27
2008-08-01,9.022556375,1.965048618,0.28
2008-09-01,9.774436073,2.093812731,0.28
2008-10-01,10.4477612,2.371410714,0.2
2008-11-01,10.4477612,2.166220318,0.51
2008-12-01,9.70149254,2.134049895,0.89
2009-01-01,10.4477612,2.024549031,0.35
2009-02-01,9.629629632,2.132787676,0.24
2009-03-01,8.029197086,2.193042563,0.22
2009-04-01,8.695652178,2.1192264,0.36
2009-05-01,8.633093529,2.058107317,0.37
2009-06-01,9.285714289,1.992997799,0.24
2009-07-01,11.88811189,2.149426938,0.2
2009-08-01,11.72413795,2.016530111,0.16
2009-09-01,11.64383563,1.941455632,0.19
2009-10-01,11.48648648,1.934493789,0.34
2009-11-01,13.51351351,1.83606712,0.2
2009-12-01,14.96598639,1.89479494,0.29
2010-01-01,16.21621621,1.889043009,0.2
2010-02-01,14.86486486,2.112501108,0.21
2010-03-01,14.86486486,1.984468149,0.18
2010-04-01,13.33333333,1.97390359,0.28
2010-05-01,13.90728476,2.056401475,0.27
2010-06-01,13.72549019,2.180065801,0.17
2010-07-01,11.25000001,2.001605356,0.27
